rule_id,rule_name,trigger_type,growth_stage,condition_expr,advice_text,advice_type,source_id,evidence_id,evidence_level,version,is_active
R-F-001,基肥侧深施肥推荐,生育期提醒,播种期,growth_stage == '播种期',【施肥】建议根据测土配方结果进行侧深施肥：种肥以磷肥为主，配施适量氮钾肥，施肥位置在种子侧方5-6cm、深度5-6cm，重茬地块宜增施有机肥和生物肥。,处方,HLJ-001;HLJ-002,EV-001;EV-013,A,1.0,1
R-F-002,花期结荚期叶面肥,模型等级+规则联合,花期-结荚期,"grade in ('低产','中产') AND growth_stage in ('花期','结荚期')",【追肥提示】当前处于花期或结荚期，若大豆长势偏弱（SPAD偏低或株高增长趋缓），建议适时喷施叶面肥（可含硼、钼、锌等中微量元素）。高肥力壮苗地块无需追肥，注意防徒长倒伏。,提示,HLJ-001;HLJ-002,EV-002;EV-011;EV-012,A,1.0,1
R-F-003,低产预测低肥力追肥,模型等级+规则联合,开花期-鼓粒期,grade == '低产' AND spad_last <= P30(spad_last),【追肥建议】预测产量偏低且SPAD值偏低，提示存在氮素或营养不足风险。建议在开花期或鼓粒期进行叶面追肥，低肥力地块可按50%氮肥分次追施原则补肥，同时复核叶色，必要时联系农技人员。,提示,HLJ-001;MOA-001,EV-002;EV-018,A,1.0,1
R-F-004,有机质低/重茬有机肥补充,纯规则,播种前,"field_type in ('重茬','有机质低') OR rotation_type == '连作'",【基肥建议】重茬或有机质偏低地块，建议施用农家肥1000-2000公斤/亩或商品有机肥150-300公斤/亩作基肥，同时增施生物肥，改善土壤理化结构。,提示,HLJ-001;MOA-001,EV-020,A,1.0,1
R-F-005,轮作区域减少化肥用量,纯规则,播种期,"rotation_type in ('米豆轮作','玉改豆')",【施肥提示】米豆轮作或玉米改种大豆地块，可大幅减少化肥用量，利用前茬有机肥后效。秸秆还田地块适当减少钾肥施用量。,提示,HLJ-002,EV-010,A,1.0,1
R-F-006,分层施肥技术推荐,生育期提醒,播种期,growth_stage == '播种期',【分层施肥建议】推荐采用大豆专用分层施肥技术：种肥施在种下5cm处，底肥施在种下10～12cm处（大垄可分两层：1/3在10-12cm，2/3在16-18cm）。肥料氮磷钾比例建议1:1.1-1.5:0.8-1.2，控释氮肥比例不低于30%。具体用量参照测土配方结果，中等肥力地块可参考N 30-50 kg/hm²。,处方,HLJ-005;HLJ-007,EV-029;EV-036,A,1.0,1
R-F-007,一喷多促叶面肥方案,生育期提醒,初花期-鼓粒期,"growth_stage in ('初花期','盛花期','结荚期','鼓粒期')","【一喷多促提示】推荐按大豆全生育期'一喷多促'方案：
初花期（R1）：喷施硼钼微量元素+磷酸二氢钾；
结荚期（R3-R4）：根据长势选择叶面肥；
鼓粒期（R5-R6）：喷施氨基酸类叶面肥+磷酸二氢钾。
每次喷施用水量不少于30L/亩，间隔7～10天，可与农药混施实现'一喷多防'。",提示,HLJ-006,EV-033,A,1.0,1
R-G-001,高产田常规管理,模型等级,全生育期,grade == '高产',【高产田管理】当前预测产量属本批次高产水平，建议保持常规田间管理，重点关注后期水肥供应和病虫害防控，适时巡田记录长势变化。,提示,HLJ-001,EV-009,A,1.0,1
R-G-002,低产田重点巡田,模型等级,全生育期,grade == '低产',【低产田提示】当前预测产量属本批次偏低水平，建议重点巡田，结合土壤、墒情与病虫害情况综合诊断，按需采取补救措施（追肥、排涝、病虫防治等）。,提示,HLJ-001,EV-009,A,1.0,1
R-M-001,花前化控防倒伏,模型等级+规则联合,花前,growth_stage == '花前' AND height_growth_rate > P70(height_growth_rate),【化控防倒】花期前植株长势过旺（株高增长偏快），建议喷施化控剂1-2次，调节植株群体结构，增强抗倒伏能力。具体产品和用量请参照当地植保推荐。,提示,HLJ-001,EV-007,A,1.0,1
