evidence_id,source_id,page_or_section,topic,crop,region,growth_stage,evidence_text,normalized_action,evidence_level,trigger_hint,notes
EV-001,HLJ-001,施肥段,施肥,大豆,黑龙江省,播种期,化肥做种肥，根据测土配方结果确定化肥用量。一般每公顷施纯N为30～45kg、P2O5为80～110kg、K2O为40～55kg，或等养分的复合肥。采取侧深施肥，施于种子侧向5～6cm，深度为种下5～6cm和10～11cm两层，各占50%。,根据测土配方侧深施肥：N 30-45 kg/hm²，P2O5 80-110 kg/hm²，K2O 40-55 kg/hm²,A,播种期/种肥,黑龙江官方2026年备春耕指导意见，适用黑龙江全省
EV-002,HLJ-001,施肥段,追肥/叶面肥,大豆,黑龙江省,花期-鼓粒期,在花期、结荚鼓粒期等关键环节，依据大豆长势适时喷施叶面肥。,花期至结荚鼓粒期视长势喷施叶面肥,A,长势偏弱 OR 鼓粒期,黑龙江官方2026年指导意见
EV-003,HLJ-001,根瘤菌接种段,根瘤菌接种,大豆,黑龙江省,播种前,播种前，做好种衣剂包衣及根瘤菌接种，提高大豆根瘤固氮能力。,播种前完成根瘤菌接种（拌种/包衣）,A,播种前准备,与 MOA-001 全国技术指导意见一致
EV-004,HLJ-001,根腐病防控段,病虫害防控,大豆,黑龙江省,播种期,大豆根腐病部分地区近年来有加重趋势，采用精甲霜灵·咯菌腈种衣剂包衣对防治根腐病有明显效果，对新型镰孢菌根腐病发生地块，要加入三氟吡啶胺；精甲霜灵·咯菌腈+噻虫嗪可兼防地下害虫、早期蓟马、二条叶甲、根潜蝇。,根腐病风险地块用精甲霜灵·咯菌腈种衣剂包衣；新型镰孢菌地块加三氟吡啶胺,A,根腐病风险高/低洼易涝地块,2026黑龙江指导意见，北部及东部偏重发生
EV-005,HLJ-001,病害防控段,病虫害防控,大豆,黑龙江省,结荚期,大豆食心虫可使用氯虫苯甲酰胺、四氯虫酰胺、甲维盐、高效氯氟氰菊酯等药剂喷雾防治，并可同时兼防其它食叶类害虫；对大豆雷瘿蚊等新发害虫要实时监测，及时防控。,食心虫用氯虫苯甲酰胺等药剂喷雾防治；关注大豆雷瘿蚊新发害虫,A,食心虫发生期（结荚期）,2026黑龙江指导意见
EV-006,HLJ-001,水分管理段,水分/排涝,大豆,黑龙江省,苗期-全生育期,低洼地块及时排水，防止田间积水；开花、结荚鼓粒期发生干旱时，适时进行灌溉。,低洼地块及时排水；花期-鼓粒期干旱时适时灌溉,A,低洼积水 OR 花期-鼓粒期干旱,2026黑龙江指导意见，三江平原易发春涝
EV-007,HLJ-001,化控段,中后期田间管理,大豆,黑龙江省,花前,花期前如大豆植株长势过旺，可喷施1～2次化控剂，调节大豆植株群体结构，增强植株抗倒伏能力。,花前植株长势过旺时喷施化控剂1-2次，防倒伏,A,花前株高过旺/预计倒伏风险,提示型建议，化控剂具体品种须按当地推荐
EV-008,HLJ-001,除草段,杂草防控,大豆,黑龙江省,播后苗前/苗期,播种后要搞好化学除草，使用高效低残留除草剂，加大除草剂减施技术应用；一般播种后及时喷施除草剂封闭除草，在苗期根据草情适时喷施茎叶除草剂。,播后苗前封闭除草；苗期按草情茎叶处理,A,播后至苗期,强调高效低残留、减施技术
EV-009,HLJ-001,气候预测段,生育期管理重点,大豆,黑龙江省,全生育期,建议西部提前做好抗春旱准备工作，东部低洼地块加强排涝散墒工作，适时早整地、早播种。夏季局部可能出现阶段性干旱和强对流天气，需关注大豆抗伏旱和低洼地块防涝工作。秋季需关注秋季防旱和加强促早熟工作。,全季关注：西部抗旱、东部排涝、夏季伏旱监测、秋季促早熟,A,区域/季节性气候风险判断,2026年黑龙江气候预测，适用区域管理决策
EV-010,HLJ-002,大豆施肥原则,施肥,大豆,黑龙江省,播种期,施足基肥，包括有机肥和磷肥，根据地力情况适当添加氮肥和钾肥。米豆轮作栽培方式，有机肥施用于前茬作物，大豆利用其后效。采用拌种、包衣、喷施等方式接种大豆根瘤菌，促进生物固氮，减少氮肥用量。秸秆还田条件下，适当减少钾肥用量；玉米改种大豆区域和米豆轮作区域可大幅减少化肥用量。,米豆轮作地块可大幅减少化肥用量；秸秆还田地块减少钾肥；根瘤菌接种减少氮肥,A,轮作/秸秆还田场景,2025黑龙江科学施肥指导意见
EV-011,HLJ-002,大豆追肥段,追肥/叶面肥,大豆,黑龙江省,开花期-结荚期,根据长势，可在开花期或结荚期追肥，以上的氮肥选用缓控释型。如果后期脱肥可喷施叶面肥。土壤肥力较高，基肥、种肥充足，大豆生长健壮的地块，可以不用追肥，但应防止徒长倒伏。,开花期或结荚期视长势追肥；高肥力壮苗地块不追肥，防徒长倒伏,A,开花期/结荚期长势评估,2025黑龙江科学施肥指导意见
